Order_ID,Date,Order_Time,Customer_ID,Customer_Type,Product,Category,Quantity,Unit_Price,Cost,Discount,Revenue,Profit,Payment_Method,Restaurant_Location
1,2024-03-16,12:58:00,CUSTOMER_226,New,Garlic Shrimp,Seafood,1,15.56,7.72,20,12.45,4.73,Card,Mall
2,2025-11-07,20:37:00,CUSTOMER_429,Returning,Steak Tacos,Tacos,4,8.89,6.16,20,28.45,3.81,Cash,Downtown
3,2024-02-27,11:19:00,CUSTOMER_829,New,Grilled Chicken,Main Dishes,2,11.67,7.63,10,21.01,5.75,Card,Downtown
4,2025-12-04,10:25:00,CUSTOMER_601,VIP,Steak Plate,Main Dishes,5,17.78,11.78,20,71.12,12.22,Card,Beach
5,2024-08-21,14:16:00,CUSTOMER_591,New,Lemonade,Drinks,2,3.33,2.2,10,5.99,1.59,Cash,Mall
6,2025-03-07,10:11:00,CUSTOMER_296,New,Fish Tacos,Tacos,2,8.33,3.41,15,14.16,7.34,Card,Mall
7,2025-01-30,13:52:00,CUSTOMER_486,VIP,Grilled Fish Fillet,Seafood,4,13.33,9.06,15,45.32,9.08,Transfer,Downtown
8,2025-08-07,22:59:00,CUSTOMER_885,New,Iced Tea,Drinks,5,3.06,1.27,0,15.3,8.95,Cash,Downtown
9,2025-11-15,22:58:00,CUSTOMER_272,VIP,Onion Rings,Appetizers,1,5.0,2.57,20,4.0,1.43,Transfer,Downtown
10,2025-06-27,20:22:00,CUSTOMER_148,New,Mixed Tacos,Tacos,5,10.56,5.9,20,42.24,12.74,Card,Mall
11,2025-02-07,19:06:00,CUSTOMER_87,New,Coffee,Drinks,5,2.78,1.82,15,11.81,2.71,Cash,Downtown
12,2024-03-01,15:57:00,CUSTOMER_814,VIP,Hamburger,Main Dishes,2,9.44,5.46,20,15.1,4.18,Card,Beach
13,2024-11-11,21:57:00,CUSTOMER_84,VIP,Fish Soup,Seafood,4,10.0,6.05,10,36.0,11.8,Cash,Downtown
14,2024-04-28,16:04:00,CUSTOMER_273,Returning,Shrimp Tacos,Tacos,2,10.0,4.09,5,19.0,10.82,Cash,Beach
15,2024-12-15,12:29:00,CUSTOMER_658,Returning,Ice Cream,Desserts,1,3.89,2.22,10,3.5,1.28,Card,Beach
16,2025-11-06,18:22:00,CUSTOMER_695,Returning,Lemonade,Drinks,5,3.33,1.97,10,14.98,5.13,Cash,Beach
17,2024-03-15,22:28:00,CUSTOMER_387,VIP,Grilled Chicken,Main Dishes,5,11.67,6.23,15,49.6,18.45,Card,Mall
18,2024-03-16,22:38:00,CUSTOMER_327,Returning,Shrimp Aguachile,Seafood,5,13.89,9.68,10,62.51,14.11,Transfer,Downtown
19,2024-08-22,21:40:00,CUSTOMER_832,VIP,Mixed Tacos,Tacos,2,10.56,4.96,5,20.06,10.14,Cash,Mall
20,2024-05-23,18:09:00,CUSTOMER_416,New,Shrimp Tacos,Tacos,3,10.0,5.29,10,27.0,11.13,Card,Mall
21,2024-05-05,17:23:00,CUSTOMER_933,VIP,Grilled Fish Fillet,Seafood,5,13.33,7.31,15,56.65,20.1,Card,Mall
22,2024-02-08,10:42:00,CUSTOMER_317,Returning,Fish Tacos,Tacos,3,8.33,3.58,15,21.24,10.5,Cash,Beach
23,2025-10-04,13:12:00,CUSTOMER_923,Returning,Lemonade,Drinks,1,3.33,1.8,10,3.0,1.2,Transfer,Mall
24,2025-10-14,17:07:00,CUSTOMER_742,VIP,Ice Cream,Desserts,1,3.89,2.23,5,3.7,1.47,Cash,Beach
25,2024-12-08,20:56:00,CUSTOMER_252,VIP,Nachos,Appetizers,3,7.22,4.98,5,20.58,5.64,Card,Beach
26,2024-09-05,14:10:00,CUSTOMER_421,Returning,Steak Plate,Main Dishes,1,17.78,9.38,10,16.0,6.62,Transfer,Beach
27,2025-11-02,11:55:00,CUSTOMER_948,Returning,Shrimp Aguachile,Seafood,4,13.89,6.88,0,55.56,28.04,Cash,Mall
28,2025-01-16,10:32:00,CUSTOMER_209,Returning,Shrimp Aguachile,Seafood,2,13.89,5.78,5,26.39,14.83,Cash,Mall
29,2025-05-18,12:04:00,CUSTOMER_300,Returning,Ceviche,Seafood,3,12.22,5.86,15,31.16,13.58,Cash,Downtown
30,2024-10-01,10:53:00,CUSTOMER_397,Returning,Ceviche,Seafood,4,12.22,6.65,10,43.99,17.39,Transfer,Downtown
31,2024-07-30,12:34:00,CUSTOMER_475,New,Coffee,Drinks,5,2.78,1.32,5,13.2,6.6,Cash,Beach
32,2025-09-29,15:01:00,CUSTOMER_296,VIP,Guacamole,Appetizers,3,5.56,2.54,5,15.85,8.23,Transfer,Downtown
33,2024-10-18,18:30:00,CUSTOMER_705,New,Ceviche,Seafood,3,12.22,8.43,0,36.66,11.37,Card,Beach
